,venue,innings,batting_team,bowling_team,total_runs
353,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,31
354,Nehru Stadium,1,Kochi Tuskers Kerala,Royal Challengers Bangalore,60
355,Nehru Stadium,2,Royal Challengers Bangalore,Kochi Tuskers Kerala,48
356,Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,38
357,Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,31
358,Dr DY Patil Sports Academy,1,Kings XI Punjab,Pune Warriors,36
359,Dr DY Patil Sports Academy,2,Pune Warriors,Kings XI Punjab,44
360,Eden Gardens,1,Kolkata Knight Riders,Deccan Chargers,46
361,Eden Gardens,2,Deccan Chargers,Kolkata Knight Riders,30
362,Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,30
363,Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,57
364,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,24
365,M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,40
366,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,31
367,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,65
368,Dr DY Patil Sports Academy,1,Kochi Tuskers Kerala,Pune Warriors,37
369,Dr DY Patil Sports Academy,2,Pune Warriors,Kochi Tuskers Kerala,44
370,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,41
371,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,28
372,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,31
373,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,62
374,Wankhede Stadium,1,Mumbai Indians,Kochi Tuskers Kerala,44
375,Wankhede Stadium,2,Kochi Tuskers Kerala,Mumbai Indians,45
376,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,45
377,"MA Chidambaram Stadium, Chepauk",2,Royal Challengers Bangalore,Chennai Super Kings,33
378,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Kings XI Punjab,48
379,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Deccan Chargers,62
380,Dr DY Patil Sports Academy,1,Pune Warriors,Delhi Daredevils,62
381,Dr DY Patil Sports Academy,2,Delhi Daredevils,Pune Warriors,65
382,Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,36
383,Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,26
384,Nehru Stadium,1,Chennai Super Kings,Kochi Tuskers Kerala,42
385,Nehru Stadium,2,Kochi Tuskers Kerala,Chennai Super Kings,49
386,Feroz Shah Kotla,1,Deccan Chargers,Delhi Daredevils,43
387,Feroz Shah Kotla,2,Delhi Daredevils,Deccan Chargers,38
388,Wankhede Stadium,1,Pune Warriors,Mumbai Indians,33
389,Wankhede Stadium,2,Mumbai Indians,Pune Warriors,32
390,Eden Gardens,1,Kochi Tuskers Kerala,Kolkata Knight Riders,45
391,Eden Gardens,2,Kolkata Knight Riders,Kochi Tuskers Kerala,37
392,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,77
393,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,45
394,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,34
395,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,44
396,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,48
397,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,57
398,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,69
399,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,46
400,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,56
401,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,41
402,Sawai Mansingh Stadium,1,Kochi Tuskers Kerala,Rajasthan Royals,32
403,Sawai Mansingh Stadium,2,Rajasthan Royals,Kochi Tuskers Kerala,38
404,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Pune Warriors,45
405,"MA Chidambaram Stadium, Chepauk",2,Pune Warriors,Chennai Super Kings,40
406,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,42
407,Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,65
408,Dr DY Patil Sports Academy,1,Pune Warriors,Chennai Super Kings,37
409,Dr DY Patil Sports Academy,2,Chennai Super Kings,Pune Warriors,28
410,Nehru Stadium,1,Deccan Chargers,Kochi Tuskers Kerala,20
411,Nehru Stadium,2,Kochi Tuskers Kerala,Deccan Chargers,29
412,Feroz Shah Kotla,1,Kolkata Knight Riders,Delhi Daredevils,42
413,Feroz Shah Kotla,2,Delhi Daredevils,Kolkata Knight Riders,40
414,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,31
415,Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,18
416,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Pune Warriors,57
417,M Chinnaswamy Stadium,2,Pune Warriors,Royal Challengers Bangalore,42
418,Nehru Stadium,1,Delhi Daredevils,Kochi Tuskers Kerala,34
419,Nehru Stadium,2,Kochi Tuskers Kerala,Delhi Daredevils,37
420,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,40
421,Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,45
422,Sawai Mansingh Stadium,1,Pune Warriors,Rajasthan Royals,49
423,Sawai Mansingh Stadium,2,Rajasthan Royals,Pune Warriors,34
424,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,34
425,"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,64
426,Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,35
427,Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,24
428,Feroz Shah Kotla,1,Delhi Daredevils,Kochi Tuskers Kerala,42
429,Feroz Shah Kotla,2,Kochi Tuskers Kerala,Delhi Daredevils,65
430,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,40
431,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,41
432,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,47
433,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,43
434,Dr DY Patil Sports Academy,1,Mumbai Indians,Pune Warriors,45
435,Dr DY Patil Sports Academy,2,Pune Warriors,Mumbai Indians,30
436,Nehru Stadium,1,Kochi Tuskers Kerala,Kolkata Knight Riders,35
437,Nehru Stadium,2,Kolkata Knight Riders,Kochi Tuskers Kerala,43
438,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,43
439,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,25
440,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,48
441,M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,38
442,Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,15
443,Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,33
444,Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,50
445,Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,23
446,M Chinnaswamy Stadium,1,Kochi Tuskers Kerala,Royal Challengers Bangalore,49
447,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kochi Tuskers Kerala,79
448,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Pune Warriors,34
449,"Punjab Cricket Association Stadium, Mohali",2,Pune Warriors,Kings XI Punjab,40
450,Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,51
451,Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,48
452,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Pune Warriors,50
453,"Rajiv Gandhi International Stadium, Uppal",2,Pune Warriors,Deccan Chargers,52
454,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,39
455,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,33
456,Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,43
457,Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,66
458,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,42
459,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,52
460,Holkar Cricket Stadium,1,Kochi Tuskers Kerala,Kings XI Punjab,61
461,Holkar Cricket Stadium,2,Kings XI Punjab,Kochi Tuskers Kerala,49
462,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,33
463,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,65
464,Wankhede Stadium,1,Deccan Chargers,Mumbai Indians,32
465,Wankhede Stadium,2,Mumbai Indians,Deccan Chargers,26
466,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,43
467,Himachal Pradesh Cricket Association Stadium,2,Delhi Daredevils,Kings XI Punjab,42
468,Holkar Cricket Stadium,1,Rajasthan Royals,Kochi Tuskers Kerala,32
469,Holkar Cricket Stadium,2,Kochi Tuskers Kerala,Rajasthan Royals,87
470,Dr DY Patil Sports Academy,1,Pune Warriors,Deccan Chargers,39
471,Dr DY Patil Sports Academy,2,Deccan Chargers,Pune Warriors,56
472,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,30
473,Himachal Pradesh Cricket Association Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,34
474,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kochi Tuskers Kerala,41
475,"MA Chidambaram Stadium, Chepauk",2,Kochi Tuskers Kerala,Chennai Super Kings,40
476,Dr DY Patil Sports Academy,1,Pune Warriors,Kolkata Knight Riders,28
477,Dr DY Patil Sports Academy,2,Kolkata Knight Riders,Pune Warriors,44
478,Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,26
479,Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,52
480,Himachal Pradesh Cricket Association Stadium,1,Deccan Chargers,Kings XI Punjab,58
481,Himachal Pradesh Cricket Association Stadium,2,Kings XI Punjab,Deccan Chargers,45
482,Feroz Shah Kotla,1,Delhi Daredevils,Pune Warriors,32
483,M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,23
484,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,44
485,Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,46
486,Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,52
487,Wankhede Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,43
488,Wankhede Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,25
489,Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,25
490,Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,62
491,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Mumbai Indians,68
492,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Royal Challengers Bangalore,48
493,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,56
494,"MA Chidambaram Stadium, Chepauk",2,Royal Challengers Bangalore,Chennai Super Kings,47
495,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,42
496,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,53
497,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,40
498,Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,48
499,Wankhede Stadium,1,Pune Warriors,Mumbai Indians,30
500,Wankhede Stadium,2,Mumbai Indians,Pune Warriors,27
501,Sawai Mansingh Stadium,1,Rajasthan Royals,Kings XI Punjab,57
502,Sawai Mansingh Stadium,2,Kings XI Punjab,Rajasthan Royals,45
503,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,46
504,M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,46
505,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Chennai Super Kings,Deccan Chargers,44
506,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Deccan Chargers,Chennai Super Kings,45
507,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,37
508,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,27
509,Subrata Roy Sahara Stadium,1,Pune Warriors,Kings XI Punjab,38
510,Subrata Roy Sahara Stadium,2,Kings XI Punjab,Pune Warriors,19
511,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Deccan Chargers,Mumbai Indians,45
512,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Mumbai Indians,Deccan Chargers,29
513,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,60
514,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,20
515,Feroz Shah Kotla,1,Chennai Super Kings,Delhi Daredevils,41
516,Feroz Shah Kotla,2,Delhi Daredevils,Chennai Super Kings,50
517,Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,54
518,Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,44
519,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,55
520,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,52
521,"Punjab Cricket Association Stadium, Mohali",1,Pune Warriors,Kings XI Punjab,29
522,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Pune Warriors,38
523,Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,45
524,Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,36
525,Feroz Shah Kotla,1,Deccan Chargers,Delhi Daredevils,50
526,Feroz Shah Kotla,2,Delhi Daredevils,Deccan Chargers,34
527,Subrata Roy Sahara Stadium,1,Chennai Super Kings,Pune Warriors,43
528,Subrata Roy Sahara Stadium,2,Pune Warriors,Chennai Super Kings,56
529,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,26
530,Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,48
531,M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,43
532,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,54
533,Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,19
534,Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,41
535,Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,57
536,Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,62
537,M Chinnaswamy Stadium,1,Pune Warriors,Royal Challengers Bangalore,58
538,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Pune Warriors,42
539,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,45
540,"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,53
541,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,33
542,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,64
543,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Pune Warriors,41
544,"MA Chidambaram Stadium, Chepauk",2,Pune Warriors,Chennai Super Kings,53
545,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,41
546,"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Kings XI Punjab,36
547,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,41
548,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,45
549,Feroz Shah Kotla,1,Pune Warriors,Delhi Daredevils,51
550,Feroz Shah Kotla,2,Delhi Daredevils,Pune Warriors,49
551,Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,39
552,Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,48
553,Barabati Stadium,1,Deccan Chargers,Kolkata Knight Riders,39
554,Barabati Stadium,2,Kolkata Knight Riders,Deccan Chargers,42
555,Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,37
556,Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,48
557,Subrata Roy Sahara Stadium,1,Pune Warriors,Delhi Daredevils,28
558,Subrata Roy Sahara Stadium,2,Delhi Daredevils,Pune Warriors,61
559,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,44
560,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,38
561,Subrata Roy Sahara Stadium,1,Deccan Chargers,Pune Warriors,50
562,Subrata Roy Sahara Stadium,2,Pune Warriors,Deccan Chargers,44
563,Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,54
564,Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,49
565,"MA Chidambaram Stadium, Chepauk",1,Kings XI Punjab,Chennai Super Kings,43
566,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kings XI Punjab,48
567,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,46
568,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,35
569,Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,42
570,Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,40
571,Wankhede Stadium,1,Deccan Chargers,Mumbai Indians,38
572,Wankhede Stadium,2,Mumbai Indians,Deccan Chargers,31
573,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,43
574,"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,35
575,Barabati Stadium,1,Deccan Chargers,Pune Warriors,33
576,Barabati Stadium,2,Pune Warriors,Deccan Chargers,48
577,Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Daredevils,56
578,Sawai Mansingh Stadium,2,Delhi Daredevils,Rajasthan Royals,61
579,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,33
580,M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,53
581,Subrata Roy Sahara Stadium,1,Mumbai Indians,Pune Warriors,42
582,Subrata Roy Sahara Stadium,2,Pune Warriors,Mumbai Indians,37
583,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,55
584,"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,47
585,Eden Gardens,1,Kolkata Knight Riders,Pune Warriors,64
586,Eden Gardens,2,Pune Warriors,Kolkata Knight Riders,44
587,"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Kings XI Punjab,60
588,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Rajasthan Royals,33
589,Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,52
590,Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,46
591,M Chinnaswamy Stadium,1,Deccan Chargers,Royal Challengers Bangalore,46
592,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Deccan Chargers,46
593,Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,50
594,Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,60
595,Subrata Roy Sahara Stadium,1,Pune Warriors,Rajasthan Royals,35
596,Subrata Roy Sahara Stadium,2,Rajasthan Royals,Pune Warriors,49
597,"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,Deccan Chargers,51
598,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kings XI Punjab,39
599,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,25
600,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,35
601,Sawai Mansingh Stadium,1,Rajasthan Royals,Chennai Super Kings,28
602,Sawai Mansingh Stadium,2,Chennai Super Kings,Rajasthan Royals,36
603,Subrata Roy Sahara Stadium,1,Royal Challengers Bangalore,Pune Warriors,66
604,Subrata Roy Sahara Stadium,2,Pune Warriors,Royal Challengers Bangalore,50
605,Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,49
606,Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,32
607,"MA Chidambaram Stadium, Chepauk",1,Delhi Daredevils,Chennai Super Kings,27
608,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Delhi Daredevils,45
609,Sawai Mansingh Stadium,1,Rajasthan Royals,Pune Warriors,45
610,Sawai Mansingh Stadium,2,Pune Warriors,Rajasthan Royals,33
611,"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Kings XI Punjab,47
612,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Deccan Chargers,44
613,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,40
614,M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,31
615,Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,50
616,Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,51
617,Feroz Shah Kotla,1,Kings XI Punjab,Delhi Daredevils,47
618,Feroz Shah Kotla,2,Delhi Daredevils,Kings XI Punjab,37
619,Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,32
620,Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,26
621,Himachal Pradesh Cricket Association Stadium,1,Chennai Super Kings,Kings XI Punjab,25
622,Himachal Pradesh Cricket Association Stadium,2,Kings XI Punjab,Chennai Super Kings,43
623,Feroz Shah Kotla,1,Royal Challengers Bangalore,Delhi Daredevils,42
624,Feroz Shah Kotla,2,Delhi Daredevils,Royal Challengers Bangalore,51
625,"Rajiv Gandhi International Stadium, Uppal",1,Rajasthan Royals,Deccan Chargers,41
626,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Rajasthan Royals,57
627,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,20
628,Himachal Pradesh Cricket Association Stadium,2,Delhi Daredevils,Kings XI Punjab,44
629,Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Pune Warriors,27
630,Subrata Roy Sahara Stadium,2,Pune Warriors,Kolkata Knight Riders,40
631,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,23
632,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,40
633,Sawai Mansingh Stadium,1,Rajasthan Royals,Mumbai Indians,31
634,Sawai Mansingh Stadium,2,Mumbai Indians,Rajasthan Royals,44
635,Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Delhi Daredevils,48
636,Subrata Roy Sahara Stadium,2,Delhi Daredevils,Kolkata Knight Riders,49
637,M Chinnaswamy Stadium,1,Chennai Super Kings,Mumbai Indians,30
638,M Chinnaswamy Stadium,2,Mumbai Indians,Chennai Super Kings,54
639,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,48
640,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,46
641,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,53
642,"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,56
643,Eden Gardens,1,Delhi Daredevils,Kolkata Knight Riders,45
644,Eden Gardens,2,Kolkata Knight Riders,Delhi Daredevils,46
645,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,31
646,M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,38
647,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Pune Warriors,34
648,"Rajiv Gandhi International Stadium, Uppal",2,Pune Warriors,Sunrisers Hyderabad,27
649,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,44
650,Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,39
651,"MA Chidambaram Stadium, Chepauk",1,Mumbai Indians,Chennai Super Kings,41
652,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Mumbai Indians,36
653,Subrata Roy Sahara Stadium,1,Pune Warriors,Kings XI Punjab,24
654,Subrata Roy Sahara Stadium,2,Kings XI Punjab,Pune Warriors,56
655,"Rajiv Gandhi International Stadium, Uppal",1,Royal Challengers Bangalore,Sunrisers Hyderabad,40
656,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Royal Challengers Bangalore,37
657,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,35
658,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,40
659,Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,38
660,Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,46
661,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Chennai Super Kings,43
662,"Punjab Cricket Association Stadium, Mohali",2,Chennai Super Kings,Kings XI Punjab,38
663,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,42
664,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,37
665,Subrata Roy Sahara Stadium,1,Rajasthan Royals,Pune Warriors,44
666,Subrata Roy Sahara Stadium,2,Pune Warriors,Rajasthan Royals,64
667,Feroz Shah Kotla,1,Delhi Daredevils,Sunrisers Hyderabad,29
668,Feroz Shah Kotla,2,Sunrisers Hyderabad,Delhi Daredevils,38
669,Wankhede Stadium,1,Mumbai Indians,Pune Warriors,48
670,Wankhede Stadium,2,Pune Warriors,Mumbai Indians,40
671,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,33
672,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,31
673,Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,48
674,Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,38
675,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,34
676,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,48
677,"MA Chidambaram Stadium, Chepauk",1,Pune Warriors,Chennai Super Kings,48
678,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Pune Warriors,38
679,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,35
680,"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,45
681,M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,43
682,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,48
683,Subrata Roy Sahara Stadium,1,Sunrisers Hyderabad,Pune Warriors,25
684,Subrata Roy Sahara Stadium,2,Pune Warriors,Sunrisers Hyderabad,41
685,Sawai Mansingh Stadium,1,Rajasthan Royals,Mumbai Indians,58
686,Sawai Mansingh Stadium,2,Mumbai Indians,Rajasthan Royals,26
687,Feroz Shah Kotla,1,Chennai Super Kings,Delhi Daredevils,39
